Experiment,Treatment,Tray,Date,DOL,RepDay,Day,Individual,Code,weight_mg,PupalShellLength,PupalShellWidth,isolationDate,isolationTime,eclosionDate,eclosionTime,TotalPupalDevTime,Sex,Sex_binary,Ovary date extraction,Ovary_weight_mg,Ovary_singular_weight_mg,OvaryCorrPupalSize
R1,Control,3,05/11/2021,18DOL,,DAY14,7,C.D1.T3.7,88.6,NA,NA,05/11/2021,09-Nov,11/11/2021,14:00,149,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,11,L.D2.T3.11,167.1,NA,NA,05/11/2021,09-Nov,11/11/2021,14:00,149,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,19,L.D2.T3.19,114.4,NA,NA,05/11/2021,09-Nov,11/11/2021,14:00,149,F,1,,NA,NA,NA
R1,Large,4,06/11/2021,19DOL,,DAY15,10,L.D3.T1.10,182.6,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,F,1,,NA,NA,NA
R1,Large,4,06/11/2021,19DOL,,DAY15,2,L.D3.T1.2,119.6,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,4,06/11/2021,19DOL,,DAY15,4,L.D3.T1.4,147.3,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,F,1,,NA,NA,NA
R1,Large,4,06/11/2021,19DOL,,DAY15,6,L.D3.T1.6,112.6,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,4,06/11/2021,19DOL,,DAY15,9,L.D3.T1.9,126.5,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,5,06/11/2021,19DOL,,DAY15,10,L.D3.T2.10,102.1,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,5,06/11/2021,19DOL,,DAY15,3,L.D3.T2.3,139,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,5,06/11/2021,19DOL,,DAY15,5,L.D3.T2.5,133,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,5,06/11/2021,19DOL,,DAY15,7,L.D3.T2.7,143.4,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,1,L.D3.T3.1,169.9,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,F,NA,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,5,L.D3.T3.5,202.3,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,F,1,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,6,L.D3.T3.6,101.8,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,7,L.D3.T3.7,111.5,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,8,L.D3.T3.8,115.1,NA,NA,06/11/2021,14:00-14:40,13/11/2021,12:00,166,M,NA,,NA,NA,NA
R1,Large,6,07/11/2021,20DOL,,DAY16,10,L.D4.T3.10,174.5,NA,NA,07/11/2021,10:00,13/11/2021,12:00,166,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,1,C.D2.T1.1,108.8,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,4,C.D2.T1.4,81.7,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,5,C.D2.T1.5,91.2,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,6,C.D2.T1.6,93.9,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,F,1,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,7,C.D2.T1.7,88.1,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,1,08/11/2021,21DOL,,DAY17,7,C.D4.T1.7,99,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,1,08/11/2021,21DOL,,DAY17,9,C.D4.T1.9,94.6,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Large,4,08/11/2021,21DOL,,DAY17,10,L.D5.T1.10,96.2,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Large,4,08/11/2021,21DOL,,DAY17,5,L.D5.T1.5,156.8,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,NA,NA,NA
R1,Large,4,08/11/2021,21DOL,,DAY17,8,L.D5.T1.8,100.7,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Large,4,08/11/2021,21DOL,,DAY17,9,L.D5.T1.9,101.2,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,2,06/11/2021,19DOL,,DAY15,6,C.D2.T2.6,88,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,2,06/11/2021,19DOL,,DAY15,7,C.D2.T2.7,87.8,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,2,06/11/2021,19DOL,,DAY15,8,C.D2.T2.8,97,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,M,0,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,1,C.D4.T2.1,90.4,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,10,C.D4.T2.10,71.2,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,2,C.D4.T2.2,126.8,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,6,C.D4.T2.6,134.3,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,NA,NA,NA
R1,Large,5,08/11/2021,21DOL,,DAY17,3,L.D5.T2.3,106.5,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Large,5,08/11/2021,21DOL,,DAY17,5,L.D5.T2.5,113.8,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,NA,NA,NA
R1,Large,5,08/11/2021,21DOL,,DAY17,7,L.D5.T2.7,98.6,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Large,5,08/11/2021,21DOL,,DAY17,9,L.D5.T2.9,123.2,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,3,06/11/2021,19DOL,,DAY15,4,C.D2.T3.4,94.4,NA,NA,06/11/2021,12:25-1:30,13/11/2021,12:00,167,F,1,,NA,NA,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,10,C.D4.T3.10,74.6,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,2,C.D4.T3.2,141.4,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,5,C.D4.T3.5,91.8,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,6,C.D4.T3.6,125.6,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,11,C.D1.T1.11,104,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,F,1,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,18,C.D1.T1.18,100.9,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,F,1,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,9,C.D1.T1.9,114.4,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Large,4,05/11/2021,18DOL,,DAY14,4,L.D2.T1.4,124.6,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,F,1,,NA,NA,NA
R1,Large,4,05/11/2021,18DOL,,DAY14,6,L.D2.T1.6,110.7,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Large,4,05/11/2021,18DOL,,DAY14,7,L.D2.T1.7,130.7,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,F,1,,NA,NA,NA
R1,Control,2,05/11/2021,18DOL,,DAY14,10,C.D1.T2.10,81.8,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,2,05/11/2021,18DOL,,DAY14,4,C.D1.T2.4,98.7,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,2,05/11/2021,18DOL,,DAY14,6,C.D1.T2.6,74.9,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,2,05/11/2021,18DOL,,DAY14,8,C.D1.T2.8,95.8,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,2,05/11/2021,18DOL,,DAY14,9,C.D1.T2.9,76.5,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Large,5,05/11/2021,18DOL,,DAY14,10,L.D2.T2.10,120.6,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Large,5,05/11/2021,18DOL,,DAY14,6,L.D2.T2.6,112.1,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,10,C.D1.T3.10,95.3,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,12,C.D1.T3.12,92.9,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,15,C.D1.T3.15,81.4,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,17,C.D1.T3.17,75.5,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,18,C.D1.T3.18,88.5,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,2,C.D1.T3.2,82.7,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,4,C.D1.T3.4,87.1,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,6,L.D2.T3.6,113.5,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,7,L.D2.T3.7,105.9,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,168,M,0,,NA,NA,NA
R1,Control,2,06/11/2021,19DOL,,DAY15,5,C.D2.T2.5,95.4,NA,NA,06/11/2021,12:25-1:30,12/11/2021,14:42,170,M,0,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,10,L.D1.T1.10,117.1,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,F,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,3,L.D1.T1.3,126.2,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,7,L.D1.T1.7,114.6,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,9,L.D1.T1.9,108.5,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,0,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,10,L.D1.T2.10,99.7,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,NA,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,5,L.D1.T2.5,115.4,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,0,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,9,L.D1.T2.9,129.6,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,F,1,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,1,L.D1.T3.1,103,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,F,1,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,10,L.D1.T3.10,143.7,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,F,1,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,5,L.D1.T3.5,149.8,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,F,1,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,7,L.D1.T3.7,130.7,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,0,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,8,L.D1.T3.8,115.2,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,0,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,9,L.D1.T3.9,108.5,NA,NA,04/11/2021,11-Dec,11/11/2021,14:00,171,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,5,C.D1.T1.5,98.3,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Large,4,05/11/2021,18DOL,,DAY14,3,L.D2.T1.3,147.3,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,F,1,,NA,NA,NA
R1,Control,2,05/11/2021,18DOL,,DAY14,5,C.D1.T2.5,112.1,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,1,C.D1.T3.1,92,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,14,C.D1.T3.14,95.2,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,16,C.D1.T3.16,86.2,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,20,C.D1.T3.20,89.7,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,21,C.D1.T3.21,82.4,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,5,C.D1.T3.5,110.1,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Control,3,05/11/2021,18DOL,,DAY14,9,C.D1.T3.9,84.4,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,16,L.D2.T3.16,108.4,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,3,L.D2.T3.3,120.5,NA,NA,05/11/2021,09-Nov,12/11/2021,14:42,173,M,0,,NA,NA,NA
R1,Large,5,05/11/2021,18DOL,,DAY14,3,L.D2.T2.3,116.4,NA,NA,05/11/2021,09-Nov,12/11/2021,16:25,175,M,0,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,18,L.D2.T3.18,189.4,NA,NA,05/11/2021,09-Nov,12/11/2021,16:25,175,M,0,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,1,L.D1.T1.1,130.7,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,0,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,2,L.D1.T1.2,131.6,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,4,L.D1.T1.4,133.7,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,5,L.D1.T1.5,88.1,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,6,L.D1.T1.6,126.9,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,NA,,NA,NA,NA
R1,Large,4,04/11/2021,17DOL,,DAY13,8,L.D1.T1.8,124.3,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,NA,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,1,L.D1.T2.1,104,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,0,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,2,L.D1.T2.2,140,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,1,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,3,L.D1.T2.3,141.6,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,0,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,4,L.D1.T2.4,119.6,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,1,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,6,L.D1.T2.6,94.6,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,0,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,7,L.D1.T2.7,105.5,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,M,0,,NA,NA,NA
R1,Large,5,04/11/2021,17DOL,,DAY13,8,L.D1.T2.8,122.1,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,1,,NA,NA,NA
R1,Large,6,04/11/2021,17DOL,,DAY13,3,L.D1.T3.3,130.1,NA,NA,04/11/2021,11-Dec,12/11/2021,09:00,190,F,1,,NA,NA,NA
R1,Large,6,05/11/2021,18DOL,,DAY14,1,L.D2.T3.1,98.2,NA,NA,05/11/2021,09-Nov,12/11/2021,09:00,190,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,2,C.D3.T1.2,117.2,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,5,C.D3.T1.5,98.9,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,7,C.D3.T1.7,110.2,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,8,C.D3.T1.8,91,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,9,C.D3.T1.9,89.7,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,08/11/2021,21DOL,,DAY17,1,C.D4.T1.1,115.7,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,08/11/2021,21DOL,,DAY17,2,C.D4.T1.2,132.9,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,1,08/11/2021,21DOL,,DAY17,4,C.D4.T1.4,102.5,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,4,07/11/2021,20DOL,,DAY16,2,L.D4.T1.2,162.8,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,4,07/11/2021,20DOL,,DAY16,9,L.D4.T1.9,145.3,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,4,08/11/2021,21DOL,,DAY17,1,L.D5.T1.1,135.6,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,4,C.D3.T2.4,97.7,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,6,C.D3.T2.6,90.9,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,9,C.D3.T2.9,90.7,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,7,C.D4.T2.7,79.5,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,8,C.D4.T2.8,91.1,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,9,C.D4.T2.9,97.8,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,5,07/11/2021,20DOL,,DAY16,2,L.D4.T2.2,159.6,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,5,07/11/2021,20DOL,,DAY16,4,L.D4.T2.4,117,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,5,07/11/2021,20DOL,,DAY16,5,L.D4.T2.5,171.8,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,5,07/11/2021,20DOL,,DAY16,8,L.D4.T2.8,143.1,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,5,07/11/2021,20DOL,,DAY16,9,L.D4.T2.9,106.4,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,1,C.D3.T3.1,120,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,10,C.D3.T3.10,70.7,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,4,C.D3.T3.4,99.7,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,6,C.D3.T3.6,110.5,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,8,C.D3.T3.8,94.1,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,9,C.D3.T3.9,65.2,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,7,C.D4.T3.7,89.3,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,8,C.D4.T3.8,90.6,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,6,07/11/2021,20DOL,,DAY16,5,L.D4.T3.5,120.8,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,6,07/11/2021,20DOL,,DAY16,6,L.D4.T3.6,144.7,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,6,07/11/2021,20DOL,,DAY16,8,L.D4.T3.8,193.9,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,NA,NA,NA
R1,Large,6,07/11/2021,20DOL,,DAY16,9,L.D4.T3.9,121.8,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,6,08/11/2021,21DOL,,DAY17,10,L.D5.T3.10,114.7,NA,NA,08/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Large,6,08/11/2021,21DOL,,DAY17,5,L.D5.T3.5,135.8,NA,NA,08/11/2021,10:00,15/11/2021,09:00,191,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,10,C.D3.T2.10,106,NA,NA,07/11/2021,10:00,15/11/2021,10:55,192,M,0,,NA,NA,NA
R1,Control,1,08/11/2021,21DOL,,DAY17,10,C.D4.T1.10,96.9,NA,NA,08/11/2021,10:00,16/11/2021,12:32,194,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,1,C.D1.T1.1,94.2,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,10,C.D1.T1.10,97.8,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,12,C.D1.T1.12,99,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,13,C.D1.T1.13,92.5,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,16,C.D1.T1.16,85.6,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,17,C.D1.T1.17,89.1,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,19,C.D1.T1.19,86.6,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Control,1,05/11/2021,18DOL,,DAY14,6,C.D1.T1.6,89.1,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
R1,Large,4,05/11/2021,18DOL,,DAY14,1,L.D2.T1.1,143.5,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,F,1,,NA,NA,NA
R1,Large,4,05/11/2021,18DOL,,DAY14,10,L.D2.T1.10,99,NA,NA,05/11/2021,09-Nov,13/11/2021,12:00,195,M,0,,NA,NA,NA
