Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R2,17,Control,8,4,02/02/2022,larva,7,12,53.23,8DOL
R3,74,Large,8,4,28/06/2022,larva,13,20,53.1,8DOL
R1,20,Control,8,4,26/10/2021,larva,3,21,52.9,8DOL
R3,14,Control,8,4,24/06/2022,larva,11,18,52.9,8DOL
R1,2,Large,6,2,24/10/2021,larva,5,11,52.9,6DOL
R2,9,Large,9,5,03/02/2022,larva,8,19,52.72,9DOL
R1,19,Large,8,4,26/10/2021,larva,4,22,52.7,8DOL
R1,11,Control,8,4,26/10/2021,larva,2,20,52.7,8DOL
R2,12,Control,8,4,02/02/2022,larva,7,11,52.69,8DOL
R3,64,Large,8,4,28/06/2022,larva,13,20,52.5,8DOL
R2,24,Control,8,4,02/02/2022,larva,7,12,52.49,8DOL
R3,7,Control,7,3,23/06/2022,larva,10,12,52.4,7DOL
R3,11,Control,8,4,24/06/2022,larva,12,19,52.3,8DOL
R2,22,Control,19,15,13/02/2022,larva,7,77,52.26,19DOL
R2,20,Control,10,6,04/02/2022,larva,7,23,52.18,10DOL
R2,10,Large,6,2,31/01/2022,larva,8,4,52.16,6DOL
R1,15,Large,7,3,25/10/2021,larva,6,18,52.1,7DOL
R2,3,Control,10,6,04/02/2022,larva,7,22,51.95,10DOL
R3,9,Large,8,4,28/06/2022,larva,13,20,51.9,8DOL
R3,73,Large,8,4,28/06/2022,larva,13,20,51.9,8DOL
R2,19,Large,7,3,01/02/2022,larva,8,8,51.81,7DOL
R3,13,Control,7,3,23/06/2022,larva,11,13,51.8,7DOL
R2,5,Control,10,6,04/02/2022,larva,7,23,51.74,10DOL
R1,5,Control,8,4,26/10/2021,larva,1,19,51.6,8DOL
R1,25,Control,8,4,26/10/2021,larva,2,20,51.4,8DOL
R1,13,Large,6,2,24/10/2021,larva,4,10,51.4,6DOL
R1,25,Control,8,4,26/10/2021,larva,3,21,51.3,8DOL
R2,18,Control,8,4,02/02/2022,larva,7,10,51.18,8DOL
R3,24,Control,8,4,24/06/2022,larva,11,18,51.1,8DOL
R1,23,Control,8,4,26/10/2021,larva,1,19,50.9,8DOL
R2,16,Control,8,4,02/02/2022,larva,7,11,50.82,8DOL
R2,4,Control,10,6,04/02/2022,larva,7,22,50.81,10DOL
R1,22,Control,8,4,26/10/2021,larva,3,21,50.8,8DOL
R2,18,Large,6,2,31/01/2022,larva,8,4,50.73,6DOL
R1,24,Large,8,4,26/10/2021,larva,4,22,50.7,8DOL
R1,24,Control,8,4,26/10/2021,larva,3,21,50.7,8DOL
R1,4,Large,7,3,25/10/2021,larva,5,17,50.7,7DOL
R1,24,Control,8,4,26/10/2021,larva,1,19,50.6,8DOL
R2,4,Control,8,4,02/02/2022,larva,7,10,50.57,8DOL
R3,9,Control,7,3,23/06/2022,larva,12,14,50.5,7DOL
R1,1,Control,8,4,26/10/2021,larva,3,21,50.3,8DOL
R3,15,Control,7,3,23/06/2022,larva,10,12,50.3,7DOL
R1,7,Control,8,4,26/10/2021,larva,2,20,50.2,8DOL
R2,23,Control,20,16,14/02/2022,larva,7,84,50.07,20DOL
R2,11,Control,7,3,01/02/2022,larva,7,6,50.01,7DOL
R3,19,Control,10,6,26/06/2022,larva,9,26,50,10DOL
R1,11,Control,7,3,25/10/2021,larva,1,13,50,7DOL
R1,20,Large,6,2,24/10/2021,larva,6,12,50,6DOL
R3,20,Large,8,4,28/06/2022,larva,13,20,49.8,8DOL
R3,95,Large,8,4,28/06/2022,larva,13,20,49.5,8DOL
R2,14,Control,12,8,06/02/2022,larva,7,34,49.2,12DOL
R1,23,Large,8,4,26/10/2021,larva,6,24,49.2,8DOL
R3,98,Large,8,4,28/06/2022,larva,13,20,49.2,8DOL
R2,12,Large,11,7,05/02/2022,larva,8,32,49.17,11DOL
R2,25,Control,8,4,02/02/2022,larva,7,12,49.17,8DOL
R2,5,Large,9,5,03/02/2022,larva,8,19,49.12,9DOL
R1,18,Control,8,4,26/10/2021,larva,1,19,49.1,8DOL
R1,2,Control,8,4,26/10/2021,larva,2,20,49.1,8DOL
R3,46,Large,8,4,28/06/2022,larva,13,20,49.1,8DOL
R1,21,Control,8,4,26/10/2021,larva,3,21,49,8DOL
R3,100,Large,8,4,28/06/2022,larva,13,20,49,8DOL
R3,17,Control,8,4,24/06/2022,larva,12,19,49,8DOL
R3,4,Large,8,4,28/06/2022,larva,13,20,48.8,8DOL
R2,14,Control,10,6,04/02/2022,larva,7,23,48.79,10DOL
R1,14,Control,8,4,26/10/2021,larva,3,21,48.7,8DOL
R3,26,Large,8,4,28/06/2022,larva,13,20,48.7,8DOL
R3,67,Large,8,4,28/06/2022,larva,13,20,48.6,8DOL
R1,1,Large,6,2,24/10/2021,larva,5,11,48.6,6DOL
R2,14,Large,11,7,05/02/2022,larva,8,31,48.53,11DOL
R2,16,Large,11,7,05/02/2022,larva,8,31,48.51,11DOL
R3,10,Large,8,4,28/06/2022,larva,13,20,48.5,8DOL
R1,22,Control,8,4,26/10/2021,larva,1,19,48.3,8DOL
R3,78,Large,8,4,28/06/2022,larva,13,20,48,8DOL
R3,12,Control,8,4,24/06/2022,larva,11,18,48,8DOL
R2,4,Control,7,3,01/02/2022,larva,7,6,47.9,7DOL
R3,6,Control,10,6,26/06/2022,larva,12,29,47.7,10DOL
R2,22,Control,10,6,04/02/2022,larva,7,23,47.69,10DOL
R3,12,Control,8,4,24/06/2022,larva,10,17,47.6,8DOL
R1,14,Large,6,2,24/10/2021,larva,4,10,47.6,6DOL
R1,18,Large,8,4,26/10/2021,larva,6,24,47.4,8DOL
R3,24,Control,8,4,24/06/2022,larva,12,19,47.4,8DOL
R1,12,Control,8,4,26/10/2021,larva,2,20,47.1,8DOL
R3,35,Large,8,4,28/06/2022,larva,13,20,47.1,8DOL
R2,13,Control,7,3,01/02/2022,larva,7,5,47.04,7DOL
R1,17,Control,8,4,26/10/2021,larva,2,20,46.9,8DOL
R1,24,Control,8,4,26/10/2021,larva,2,20,46.5,8DOL
R1,19,Control,8,4,26/10/2021,larva,3,21,46.5,8DOL
R1,1,Control,8,4,26/10/2021,larva,1,19,46.4,8DOL
R3,22,Control,8,4,24/06/2022,larva,12,19,46.4,8DOL
R3,2,Control,8,4,24/06/2022,larva,11,18,46.3,8DOL
R3,19,Control,7,3,23/06/2022,larva,11,13,46.2,7DOL
R1,7,Large,6,2,24/10/2021,larva,5,11,46.2,6DOL
R1,3,Large,6,2,24/10/2021,larva,4,10,46.1,6DOL
R3,17,Control,8,4,24/06/2022,larva,10,17,45.9,8DOL
R2,23,Control,14,10,08/02/2022,larva,7,48,45.75,14DOL
R1,3,Control,8,4,26/10/2021,larva,2,20,45.7,8DOL
R3,23,Control,8,4,24/06/2022,larva,12,19,45.5,8DOL
R3,1,Control,8,4,24/06/2022,larva,9,16,45.3,8DOL
R1,14,Control,7,3,25/10/2021,larva,1,13,45.3,7DOL
R1,10,Control,8,4,26/10/2021,larva,3,21,45.2,8DOL
R2,23,Control,7,3,01/02/2022,larva,7,6,45.17,7DOL
R1,17,Control,8,4,26/10/2021,larva,1,19,45.1,8DOL
R3,61,Large,8,4,28/06/2022,larva,13,20,45,8DOL
R1,11,Control,8,4,26/10/2021,larva,3,21,44.9,8DOL
R1,2,Control,8,4,26/10/2021,larva,3,21,44.8,8DOL
R1,12,Control,8,4,26/10/2021,larva,1,19,44.7,8DOL
R3,15,Control,8,4,24/06/2022,larva,11,18,44.7,8DOL
R1,23,Control,8,4,26/10/2021,larva,2,20,44.6,8DOL
R3,11,Control,7,3,23/06/2022,larva,12,14,44.6,7DOL
R2,11,Control,10,6,04/02/2022,larva,7,22,44.5,10DOL
R3,23,Control,8,4,24/06/2022,larva,10,17,44.4,8DOL
R3,3,Large,8,4,28/06/2022,larva,13,20,44.2,8DOL
R1,13,Large,7,3,25/10/2021,larva,4,16,44.1,7DOL
R1,24,Large,6,2,24/10/2021,larva,5,11,44.1,6DOL
R1,21,Control,8,4,26/10/2021,larva,2,20,44,8DOL
R2,14,Large,6,2,31/01/2022,larva,8,4,43.81,6DOL
R1,24,Large,7,3,25/10/2021,larva,6,18,43.7,7DOL
R3,12,Control,8,4,24/06/2022,larva,9,16,43.5,8DOL
R1,25,Control,7,3,25/10/2021,larva,2,14,43.5,7DOL
R1,16,Large,7,3,25/10/2021,larva,6,18,43.5,7DOL
R2,18,Large,8,4,02/02/2022,larva,8,14,43.37,8DOL
R2,25,Control,10,6,04/02/2022,larva,7,23,43.18,10DOL
R2,16,Control,7,3,01/02/2022,larva,7,5,43.17,7DOL
R1,20,Control,8,4,26/10/2021,larva,2,20,43.1,8DOL
R3,5,Control,8,4,24/06/2022,larva,9,16,43.1,8DOL
