Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R2,22,Large,14,10,08/02/2022,larva,8,49,89.98,14DOL
R2,10,Large,12,8,06/02/2022,larva,8,39,89.96,12DOL
R2,10,Control,11,7,05/02/2022,larva,7,28,89.91,11DOL
R2,21,Large,8,4,02/02/2022,larva,8,14,89.81,8DOL
R2,15,Large,14,10,08/02/2022,larva,8,49,89.77,14DOL
R3,8,Control,9,5,25/06/2022,larva,11,23,89.7,9DOL
R1,1,Large,7,3,25/10/2021,larva,4,16,89.7,7DOL
R2,15,Large,7,3,01/02/2022,larva,8,8,89.61,7DOL
R2,10,Control,9,5,03/02/2022,larva,7,16,89.52,9DOL
R1,20,Control,11,7,29/10/2021,larva,2,38,89.5,11DOL
R2,10,Control,10,6,04/02/2022,larva,7,23,89.41,10DOL
R3,25,Control,10,6,26/06/2022,larva,11,28,89.4,10DOL
R3,19,Control,9,5,25/06/2022,larva,10,22,89.4,9DOL
R2,1,Large,8,4,02/02/2022,larva,8,15,89.39,8DOL
R2,12,Control,13,9,07/02/2022,larva,7,42,89.36,13DOL
R1,18,Control,11,7,29/10/2021,larva,3,39,89.3,11DOL
R2,8,Large,12,8,06/02/2022,larva,8,39,89.22,12DOL
R1,15,Control,10,6,28/10/2021,larva,2,32,89.2,10DOL
R3,15,Large,10,6,30/06/2022,larva,13,30,89.2,10DOL
